segment,n,effort_hours,eta,rate_denied,rate_denied_lo,rate_denied_hi,effort_share_denied,rate_auto_cancel,rate_auto_cancel_lo,rate_auto_cancel_hi,effort_share_auto_cancel,rate_manual_cancel,rate_manual_cancel_lo,rate_manual_cancel_hi,effort_share_manual_cancel,failed_effort_share
"(10000.0, 15500.0] | 신규·A_Submitted | Car",1458,771.7752,13761.326,0.0981,0.086,0.1116,0.1763,0.2908,0.2716,0.3107,0.1194,0.0974,0.0854,0.1109,0.0854,0.3812
"(15500.0, 25000.0] | 신규·A_Submitted | 기타",314,236.9006,14952.0523,0.0892,0.0661,0.1193,0.099,0.2643,0.2255,0.3072,0.1177,0.1019,0.0771,0.1335,0.0847,0.3014
"(10000.0, 15500.0] | 신규·A_Submitted | Home improvement",938,534.2457,15796.5711,0.1045,0.0892,0.1221,0.1495,0.2207,0.1992,0.2437,0.0958,0.0629,0.0511,0.0772,0.0487,0.294
"(15500.0, 25000.0] | 신규·A_Submitted | Existing loan takeover",922,655.3652,16065.241,0.1486,0.1303,0.1689,0.1993,0.2495,0.2268,0.2736,0.1092,0.0607,0.049,0.075,0.0506,0.3591
"(15500.0, 25000.0] | 신규·A_Submitted | 용도 불명",477,307.2726,16796.1605,0.13,0.1067,0.1574,0.1591,0.2809,0.2484,0.3159,0.1169,0.0922,0.0727,0.1164,0.0931,0.369
"(15500.0, 25000.0] | 신규·A_Submitted | Car",1002,584.9535,17931.1682,0.1118,0.0964,0.1292,0.2173,0.2625,0.2403,0.286,0.1127,0.0998,0.0853,0.1165,0.0867,0.4167
0 (미기재) | 신규·표식 없음 | 용도 불명,1664,1157.3416,18218.4581,0.0919,0.0809,0.1043,0.1272,0.2085,0.1926,0.2254,0.0798,0.0944,0.0832,0.1068,0.0854,0.2924
"(15500.0, 25000.0] | 신규·표식 없음 | Existing loan takeover",308,216.4738,19189.8485,0.1364,0.1073,0.1717,0.15,0.1688,0.1366,0.2068,0.0638,0.0552,0.0374,0.0807,0.0433,0.2571
0 (미기재) | 신규·표식 없음 | 기타,545,377.6326,19527.3126,0.0936,0.075,0.1162,0.1135,0.167,0.1424,0.1949,0.0612,0.0826,0.0652,0.1041,0.0754,0.2501
"(15500.0, 25000.0] | 신규·표식 없음 | 기타",848,584.0072,19985.8848,0.105,0.0889,0.1235,0.1324,0.1745,0.1541,0.197,0.0694,0.0719,0.0587,0.0879,0.0695,0.2713
"(10000.0, 15500.0] | 한도 증액",494,241.7883,21025.008,0.0668,0.0506,0.0877,0.1088,0.1478,0.1234,0.176,0.0784,0.0547,0.0401,0.074,0.0471,0.2343
"(15500.0, 25000.0] | 신규·A_Submitted | Home improvement",937,524.5266,21572.3108,0.1099,0.0942,0.1279,0.1526,0.2892,0.2655,0.3142,0.124,0.0459,0.0359,0.0585,0.0543,0.331
"(25000.0, 450000.0] | 신규·A_Submitted | Car",336,246.733,21885.4004,0.1399,0.1116,0.1739,0.2428,0.2976,0.2583,0.3401,0.1014,0.0655,0.0466,0.0913,0.0604,0.4046
"(25000.0, 450000.0] | 신규·A_Submitted | Home improvement",755,515.9663,25920.5894,0.0954,0.0792,0.1144,0.1188,0.3298,0.3023,0.3585,0.1176,0.102,0.0853,0.1215,0.1438,0.3801
"(25000.0, 450000.0] | 신규·A_Submitted | 용도 불명",543,358.3995,26239.5744,0.1142,0.0936,0.1386,0.1314,0.3333,0.301,0.3674,0.1409,0.1105,0.0903,0.1346,0.1028,0.3751
"(25000.0, 450000.0] | 신규·A_Submitted | Existing loan takeover",1003,773.2282,28711.2535,0.1436,0.1263,0.1627,0.1362,0.2373,0.2159,0.2601,0.0941,0.0658,0.0541,0.0799,0.0557,0.2861
"(25000.0, 450000.0] | 신규·표식 없음 | 기타",507,400.4378,28980.0409,0.1124,0.0914,0.1376,0.1198,0.1972,0.1698,0.2279,0.0679,0.0828,0.0648,0.1053,0.0671,0.2548
"(15500.0, 25000.0] | 한도 증액",746,389.6461,30070.8252,0.0724,0.0583,0.0896,0.136,0.134,0.1148,0.1559,0.0613,0.0576,0.0451,0.0733,0.059,0.2563
0 (미기재) | 한도 증액 | 용도 불명,410,231.539,31347.6344,0.0707,0.0526,0.0945,0.1014,0.1195,0.0956,0.1484,0.05,0.0707,0.0526,0.0945,0.0455,0.197
"(25000.0, 450000.0] | 신규·표식 없음 | Existing loan takeover",382,292.1928,31356.694,0.1073,0.084,0.1362,0.1183,0.212,0.1797,0.2484,0.0908,0.0654,0.0475,0.0895,0.0521,0.2613
0 (미기재) | 한도 증액 | 기타,325,185.744,31605.0562,0.0677,0.0482,0.0944,0.0789,0.1169,0.0907,0.1495,0.0474,0.0523,0.0354,0.0766,0.072,0.1983
"(25000.0, 450000.0] | 신규·표식 없음 | Home improvement",334,260.4547,31640.8244,0.0838,0.0621,0.1122,0.219,0.2096,0.1754,0.2485,0.0708,0.0838,0.0621,0.1122,0.0623,0.3522
"(25000.0, 450000.0] | 한도 증액",762,522.4729,42602.5906,0.0591,0.0465,0.0747,0.0677,0.1378,0.1185,0.1596,0.046,0.0551,0.043,0.0704,0.0594,0.1731
