segment,n,p,r_mean,e_mean,eta,rank_p,rank_eta,rank_gap,quadrant,eta_amount_effort,eta_years_effort,eta_amount_events,eta_years_events,eta_I
"(15500.0, 25000.0] | 신규·A_Submitted 없음 | Existing loan takeover",308,0.6396,21086.802,0.7028,19189.8485,9,16,-7,성사율↑·효율↑,19189.8485,153096.5659,353.6909,2821.7454,3654.3636
금액 미기재 | 신규·A_Submitted 없음 | 용도 불명,1664,0.6052,20938.4111,0.6955,18218.4581,15,17,-2,성사율↑·효율↑,18218.4581,151101.7358,357.6332,2966.1674,3687.4351
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | Car",1002,0.5259,19903.0361,0.5838,17931.1682,23,18,5,성사율↓·효율↑,17931.1682,119119.2928,333.6376,2216.4021,2857.9115
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | 용도 불명",477,0.4969,21776.3713,0.6442,16796.1605,29,19,10,성사율↓·효율↑,16796.1605,128293.626,329.0195,2513.1402,3065.8316
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | Existing loan takeover",922,0.5412,21099.3988,0.7108,16065.241,22,20,2,성사율↓·효율↑,16065.241,124008.2488,317.289,2449.1665,2973.216
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | Home improvement",938,0.6119,14702.5261,0.5696,15796.5711,13,21,-8,성사율↑·효율↓,15796.5711,115082.6558,268.9544,1959.4115,2884.7947
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | 기타",314,0.5446,20714.3275,0.7545,14952.0523,21,22,-1,성사율↓·효율↓,14952.0523,128229.9118,307.9327,2640.8538,3078.9454
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | Car",1458,0.5137,14179.773,0.5293,13761.326,26,23,3,성사율↓·효율↓,13761.326,82562.4603,241.4333,1448.5033,2112.7865
"(10000.0, 15500.0] | 신규·A_Submitted 없음",960,0.6396,14485.114,0.6956,13318.0177,10,24,-14,성사율↑·효율↓,13318.0177,94037.0245,254.3501,1795.9375,2388.8521
"(6500.0, 10000.0] | 한도 증액",369,0.6938,9170.3125,0.4807,13234.7011,6,25,-19,성사율↑·효율↓,13234.7011,101326.0664,195.1941,1494.424,3167.5019
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | Existing loan takeover",635,0.5764,14572.541,0.6495,12932.6339,17,26,-9,성사율↑·효율↓,12932.6339,93226.5397,244.1319,1759.856,2382.7409
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | 용도 불명",414,0.5048,13964.1148,0.6282,11221.8642,27,27,0,성사율↓·효율↓,11221.8642,78416.0688,212.1311,1482.3285,2015.3213
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | Home improvement",1015,0.5704,9820.38,0.5588,10024.1806,18,28,-10,성사율↑·효율↓,10024.1806,67026.4461,174.4279,1166.3079,1971.6311
"(6500.0, 10000.0] | 신규·A_Submitted 없음 | Car",314,0.5191,9837.4233,0.5594,9128.7022,25,29,-4,성사율↓·효율↓,9128.7022,52865.348,155.7098,901.7333,1557.549
"(6500.0, 10000.0] | 신규·A_Submitted 없음 | 기타",579,0.5976,9514.0173,0.671,8472.9799,16,30,-14,성사율↑·효율↓,8472.9799,58472.2419,157.3091,1085.5939,1771.7387
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | Car",1667,0.4721,9423.4435,0.526,8458.4372,32,31,1,성사율↓·효율↓,8458.4372,44711.1405,147.5783,780.0959,1324.5788
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | Existing loan takeover",530,0.4528,9529.6875,0.6272,6880.5051,33,32,1,성사율↓·효율↓,6880.5051,42584.242,128.483,795.1958,1271.599
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | 용도 불명",478,0.4268,9585.0904,0.6303,6490.489,35,33,2,성사율↓·효율↓,6490.489,40430.9055,130.227,811.2171,1201.7621
"(599.999, 6500.0] | 신규·A_Submitted 있음 | Home improvement",1034,0.4932,6353.0392,0.5371,5833.8627,30,34,-4,성사율↓·효율↓,5833.8627,34775.617,101.0936,602.6183,1077.3662
"(599.999, 6500.0] | 신규·A_Submitted 없음",686,0.5204,6135.5322,0.5793,5512.1476,24,35,-11,성사율↓·효율↓,5512.1476,30859.2898,97.2899,544.6693,968.7386
"(599.999, 6500.0] | 신규·A_Submitted 있음 | 기타",368,0.4103,6523.5563,0.5166,5181.3897,37,36,1,성사율↓·효율↓,5181.3897,31314.4019,91.463,552.7688,974.6311
"(599.999, 6500.0] | 신규·A_Submitted 있음 | Car",1908,0.3973,6096.2216,0.5022,4822.7997,38,37,1,성사율↓·효율↓,4822.7997,22767.8358,82.7739,390.7653,724.3395
"(599.999, 6500.0] | 신규·A_Submitted 있음 | Existing loan takeover",494,0.4211,6325.0,0.5621,4737.804,36,38,-2,성사율↓·효율↓,4737.804,27623.6551,83.5673,487.2372,872.1679
"(599.999, 6500.0] | 신규·A_Submitted 있음 | 용도 불명",782,0.3529,6766.8478,0.546,4374.4179,39,39,0,성사율↓·효율↓,4374.4179,25575.407,80.2152,468.9849,778.3631
